    PID GROUP
      1 root
      2 root
      3 root
      4 root
      6 root
      8 root
      9 root
     10 root
     11 root
     12 root
     14 root
     15 root
     16 root
     17 root
     18 root
     19 root
     20 root
     21 root
     22 root
     23 root
     24 root
     70 root
     71 root
     72 root
     73 root
     74 root
     75 root
     76 root
     77 root
     78 root
     80 root
     81 root
     83 root
     84 root
     85 root
     86 root
     87 root
     88 root
     89 root
     91 root
     93 root
    102 root
    105 root
    118 root
    152 root
    197 root
    240 root
    241 root
    276 root
    314 root
    337 root
    367 root
    500 root
    501 root
    502 root
    503 root
    504 root
    515 root
    517 root
    518 root
    536 systemd-timesync
    593 systemd-network
    595 systemd-resolve
    630 root
    633 root
    635 messagebus
    642 root
    643 root
    645 root
    646 syslog
    650 root
    652 root
    655 daemon
    660 root
    663 root
    667 root
    692 root
    698 root
    717 root
   1006 root
  57353 root
  57356 root
 110439 root
 110492 root
 189243 sysops
 189249 sysops
 288957 root
 391159 sysops
 391169 sysops
 391208 sysops
 391232 sysops
 397357 root
 397440 sysops
 397441 sysops
 397494 sysops
 397505 sysops
 397526 root
 397659 sysops
 397660 sysops
 397679 sysops
 397719 root
 400671 sysops
 400949 sysops
 400951 sysops
 416083 root
 433230 root
 433241 root
 433278 sysops
 433281 sysops
 433315 sysops
